Patient Subset,Feature Subset,Engaged,Seed,Summarized,Vectorizer,RandomForest_accuracy,RandomForest_roc_auc,RandomForest_sensitivity,RandomForest_specificity,AdaBoost_accuracy,AdaBoost_roc_auc,AdaBoost_sensitivity,AdaBoost_specificity,XGBoost_accuracy,XGBoost_roc_auc,XGBoost_sensitivity,XGBoost_specificity,Run ID
1,2,0,6,0,2,0.7237,0.6693,0.617,0.6402,0.7177,0.6368,0.5957,0.6276,0.7297,0.6785,0.5,0.6987,26
1,2,0,6,1,1,0.7237,0.6693,0.617,0.6402,0.7177,0.6368,0.5957,0.6276,0.7297,0.6785,0.5,0.6987,27
1,2,0,6,1,2,0.7237,0.6693,0.617,0.6402,0.7177,0.6368,0.5957,0.6276,0.7297,0.6785,0.5,0.6987,28
1,2,0,7,0,1,0.6787,0.6587,0.6111,0.6578,0.6757,0.6268,0.5741,0.6178,0.6757,0.6411,0.5185,0.6756,29
1,2,0,7,0,2,0.6787,0.6587,0.6111,0.6578,0.6757,0.6268,0.5741,0.6178,0.6757,0.6411,0.5185,0.6756,30
1,2,0,7,1,1,0.6787,0.6587,0.6111,0.6578,0.6757,0.6268,0.5741,0.6178,0.6757,0.6411,0.5185,0.6756,31
1,2,0,7,1,2,0.6787,0.6587,0.6111,0.6578,0.6757,0.6268,0.5741,0.6178,0.6757,0.6411,0.5185,0.6756,32
1,2,0,8,0,1,0.7177,0.6679,0.6489,0.6109,0.7177,0.6487,0.6489,0.6276,0.7207,0.6526,0.5319,0.6653,33
1,2,0,8,0,2,0.7177,0.6679,0.6489,0.6109,0.7177,0.6487,0.6489,0.6276,0.7207,0.6526,0.5319,0.6653,34
1,2,0,8,1,1,0.7177,0.6679,0.6489,0.6109,0.7177,0.6487,0.6489,0.6276,0.7207,0.6526,0.5319,0.6653,35
1,2,0,8,1,2,0.7177,0.6679,0.6489,0.6109,0.7177,0.6487,0.6489,0.6276,0.7207,0.6526,0.5319,0.6653,36
1,2,0,9,0,1,0.6787,0.7095,0.5794,0.7611,0.6787,0.6969,0.0,1.0,0.6817,0.7273,0.5047,0.8053,37
1,2,0,9,0,2,0.6787,0.7095,0.5794,0.7611,0.6787,0.6969,0.0,1.0,0.6817,0.7273,0.5047,0.8053,38
1,2,0,9,1,1,0.6787,0.7095,0.5794,0.7611,0.6787,0.6969,0.0,1.0,0.6817,0.7273,0.5047,0.8053,39
1,2,0,9,1,2,0.6787,0.7095,0.5794,0.7611,0.6787,0.6969,0.0,1.0,0.6817,0.7273,0.5047,0.8053,40
1,2,0,10,0,1,0.6847,0.7044,0.5429,0.7368,0.6847,0.6957,0.1143,0.9518,0.6847,0.6979,0.5524,0.7193,41
1,2,0,10,0,2,0.6847,0.7044,0.5429,0.7368,0.6847,0.6957,0.1143,0.9518,0.6847,0.6979,0.5524,0.7193,42
1,2,0,10,1,1,0.6847,0.7044,0.5429,0.7368,0.6847,0.6957,0.1143,0.9518,0.6847,0.6979,0.5524,0.7193,43
